LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
16m         Normal    Pulled              pod/load-generator-55c4597646-hwkcb    Successfully pulled image "alexeiled/stress-ng:latest" in 108ms (108ms including waiting). Image size: 3939132 bytes.
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    (combined from similar events): Deleted pod: load-generator-bd586c8df-9fpqp
16m         Normal    Pulling             pod/load-generator-55c4597646-hwkcb    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Created             pod/load-generator-55c4597646-k49mw    Container created
16m         Normal    Killing             pod/load-generator-bd586c8df-9fpqp     Stopping container stressor
16m         Normal    Started             pod/load-generator-55c4597646-hwkcb    Container started
16m         Normal    Pulled              pod/load-generator-55c4597646-k49mw    Successfully pulled image "alexeiled/stress-ng:latest" in 161ms (161ms including waiting). Image size: 3939132 bytes.
16m         Normal    Created             pod/load-generator-55c4597646-hwkcb    Container created
6s          Normal    BackOff             pod/trace-replayer-w6krm               Back-off pulling image "us-central1-docker.pkg.dev/research-autoscaler-2026/research/autoscaler:v2"
6s          Warning   Failed              pod/trace-replayer-w6krm               Error: ImagePullBackOff
