LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
9m51s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-bww42
9m51s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-7cldx
9m51s       Normal    ScalingReplicaSet   deployment/load-generator              Scaled up replica set load-generator-55c4597646 from 5 to 6
9m51s       Normal    Created             pod/load-generator-55c4597646-62lbh    Container created
9m51s       Normal    Started             pod/load-generator-55c4597646-62lbh    Container started
9m51s       Normal    Scheduled           pod/load-generator-55c4597646-6fldl    Successfully assigned research-workload/load-generator-55c4597646-6fldl to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m51s       Normal    Scheduled           pod/load-generator-55c4597646-jff9q    Successfully assigned research-workload/load-generator-55c4597646-jff9q to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m51s       Normal    Killing             pod/load-generator-bd586c8df-r5sdk     Stopping container stressor
9m51s       Normal    ScalingReplicaSet   deployment/load-generator              Scaled down replica set load-generator-bd586c8df from 8 to 7
9m51s       Normal    Killing             pod/load-generator-bd586c8df-njc9r     Stopping container stressor
9m51s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-6fldl
9m51s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-jff9q
9m51s       Normal    Killing             pod/load-generator-bd586c8df-bww42     Stopping container stressor
9m51s       Normal    Killing             pod/load-generator-bd586c8df-gwm78     Stopping container stressor
9m51s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-r5sdk
9m51s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-njc9r
9m51s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-gwm78
9m51s       Normal    Scheduled           pod/load-generator-55c4597646-7cldx    Successfully assigned research-workload/load-generator-55c4597646-7cldx to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m50s       Normal    Scheduled           pod/load-generator-55c4597646-9n8gx    Successfully assigned research-workload/load-generator-55c4597646-9n8gx to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m50s       Normal    Killing             pod/load-generator-bd586c8df-r5rfq     Stopping container stressor
9m50s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-r5rfq
9m50s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-9n8gx
9m49s       Normal    Pulling             pod/load-generator-55c4597646-6fldl    Pulling image "alexeiled/stress-ng:latest"
9m49s       Normal    Pulling             pod/load-generator-55c4597646-7cldx    Pulling image "alexeiled/stress-ng:latest"
9m49s       Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   (combined from similar events): Created pod: load-generator-55c4597646-hjhnp
9m49s       Normal    Scheduled           pod/load-generator-55c4597646-hjhnp    Successfully assigned research-workload/load-generator-55c4597646-hjhnp to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m48s       Normal    Created             pod/load-generator-55c4597646-7cldx    Container created
9m48s       Normal    Pulled              pod/load-generator-55c4597646-jff9q    Successfully pulled image "alexeiled/stress-ng:latest" in 171ms (171ms including waiting). Image size: 3939132 bytes.
9m48s       Normal    Pulling             pod/load-generator-55c4597646-jff9q    Pulling image "alexeiled/stress-ng:latest"
9m48s       Normal    Started             pod/load-generator-55c4597646-7cldx    Container started
9m48s       Normal    Pulling             pod/load-generator-55c4597646-9n8gx    Pulling image "alexeiled/stress-ng:latest"
9m48s       Normal    Pulled              pod/load-generator-55c4597646-9n8gx    Successfully pulled image "alexeiled/stress-ng:latest" in 212ms (373ms including waiting). Image size: 3939132 bytes.
9m48s       Normal    Created             pod/load-generator-55c4597646-9n8gx    Container created
9m48s       Normal    Started             pod/load-generator-55c4597646-9n8gx    Container started
9m48s       Normal    Started             pod/load-generator-55c4597646-6fldl    Container started
9m48s       Normal    Created             pod/load-generator-55c4597646-6fldl    Container created
9m48s       Normal    Pulled              pod/load-generator-55c4597646-6fldl    Successfully pulled image "alexeiled/stress-ng:latest" in 251ms (252ms including waiting). Image size: 3939132 bytes.
9m48s       Normal    Created             pod/load-generator-55c4597646-jff9q    Container created
9m48s       Normal    Pulled              pod/load-generator-55c4597646-7cldx    Successfully pulled image "alexeiled/stress-ng:latest" in 238ms (238ms including waiting). Image size: 3939132 bytes.
9m47s       Normal    Started             pod/load-generator-55c4597646-jff9q    Container started
9m47s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    (combined from similar events): Deleted pod: load-generator-bd586c8df-2xwbc
9m47s       Normal    Killing             pod/load-generator-bd586c8df-hjnx8     Stopping container stressor
9m47s       Normal    Killing             pod/load-generator-bd586c8df-2xwbc     Stopping container stressor
9m47s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-hjnx8
9m47s       Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-rxp9z
9m47s       Normal    Started             pod/load-generator-55c4597646-hjhnp    Container started
9m47s       Normal    Killing             pod/load-generator-bd586c8df-rxp9z     Stopping container stressor
9m47s       Normal    Created             pod/load-generator-55c4597646-hjhnp    Container created
9m47s       Normal    Pulled              pod/load-generator-55c4597646-hjhnp    Successfully pulled image "alexeiled/stress-ng:latest" in 117ms (117ms including waiting). Image size: 3939132 bytes.
9m47s       Normal    Pulling             pod/load-generator-55c4597646-hjhnp    Pulling image "alexeiled/stress-ng:latest"
